url; title; description
https://www.pivotaltracker.com/n/projects/1279426; Curriculum Tracker; Pivotal Tracker page for Launch Academy's Curriculum work.
https://www.pivotaltracker.com/n/projects/1294512; Software Tracker; Pivotal Tracker page for Launch Academy's Software work.
https://github.com/LaunchAcademy/curriculum; Curriculum Repository; GitHub repository for Launch Academy's Curriculum, written in Markdown.
https://learn.launchacademy.com/; Horizon; Launch Academy's online learning platform.
https://drive.google.com/drive/u/0/folders/0B1ZucdGrGxLUdmlzLUljUXpLMkU; Drive; Launch Academy's Google Drive folder.
https://docs.google.com/spreadsheets/d/1QjgI7_13FozLikmt_XRXNHT1bbEae-TNdvYkksXNmX0/edit#gid=590137648; Curriculum Timeline; Launch Academy's Curriculum Timeline for Summer 2016
https://docs.google.com/spreadsheets/d/1Dr2X4zswI-iAdH8dGXWwZpbi4V9YkpmRkzvNlERpbk4/edit#gid=1667121919; Time Tracker; Spreadsheet for tracking hours.
https://docs.google.com/spreadsheets/d/1IGzaBdmSDP6iONGVAs87l-bWqisNvEGnmqLexMhgJ-o/edit#gid=1238553406; "Curriculum Timeline"; "Launch Academy's Curriculum Timeline for Fall 2016"
